HOME_TEAM_WINS,FGP_H,FG3P_H,FTP_H,DREB_H,AST_H,STL_H,BLK_H,RANKING_H
NO,0.43,0.36,0.6,24,21,4,3,0.353
YES,0.48,0.37,0.8,44,27,6,7,0.5
YES,0.52,0.55,0.78,39,21,5,6,0.375
NO,0.4,0.35,0.85,29,17,8,2,0.375
YES,0.43,0.36,0.79,39,28,11,7,0.563
YES,0.47,0.53,0.95,37,25,11,9,0.824
YES,0.4,0.33,0.65,37,20,9,11,0.765
YES,0.43,0.27,0.7,32,18,13,3,0.588
YES,0.49,0.4,0.77,34,24,5,2,0.412
YES,0.46,0.5,0.76,37,18,11,9,0.533
YES,0.49,0.53,0.84,35,32,8,7,1
NO,0.33,0.3,0.78,32,20,11,3,0.429
YES,0.48,0.36,0.69,37,24,6,7,0.529
YES,0.43,0.33,0.81,44,15,8,11,0.235
NO,0.58,0.33,0.88,38,22,5,7,0.444
NO,0.38,0.33,0.73,39,17,6,5,0.125
YES,0.39,0.48,0.82,36,20,6,6,0.588
YES,0.52,0.36,0.64,32,24,3,5,0.529
YES,0.42,0.31,0.74,34,19,11,7,0.556
NO,0.44,0.41,0.82,35,19,6,7,0.611
NO,0.48,0.29,0.75,27,21,9,6,0.625
YES,0.46,0.29,0.7,33,22,1,1,0.368
YES,0.45,0.33,0.73,30,25,10,12,0.389
NO,0.45,0.32,0.77,25,18,9,2,0.5
YES,0.53,0.35,0.49,32,22,8,8,0.5
YES,0.43,0.36,0.9,37,23,9,8,0.6
YES,0.39,0.42,0.5,37,26,7,5,0.556
YES,0.43,0.38,0.6,39,25,4,6,0.667
NO,0.41,0.38,0.88,37,24,6,1,0.368
YES,0.47,0.44,0.65,37,28,6,8,0.053
NO,0.43,0.33,0.76,28,25,3,11,0.222
NO,0.38,0.21,0.82,34,14,7,11,0.444
YES,0.49,0.31,0.67,36,23,10,4,0.278
NO,0.34,0.3,0.87,37,15,8,3,0.722
YES,0.4,0.35,0.78,47,22,3,10,0.688
NO,0.37,0.29,0.67,28,19,10,7,0.556
NO,0.38,0.22,0.64,30,19,4,2,0.526
NO,0.47,0.33,0.74,33,24,11,2,0.438
YES,0.41,0.33,0.7,43,25,11,9,0.789
YES,0.41,0.3,0.72,33,20,9,7,0.421
YES,0.43,0.21,0.86,42,19,5,9,0.474
YES,0.51,0.44,0.61,37,24,10,1,0.526
NO,0.37,0.3,0.75,30,22,8,7,0.571
NO,0.38,0.33,0.78,37,21,8,4,0.35
NO,0.42,0.3,0.86,30,21,9,3,0.6
YES,0.52,0.5,0.85,33,26,11,3,0.4
YES,0.49,0.23,0.58,29,25,10,3,0.647
NO,0.43,0.42,0.75,34,18,4,8,0.471
NO,0.38,0.12,0.84,28,19,6,6,0.55
YES,0.45,0.44,0.86,36,25,8,6,0.5
YES,0.49,0.36,0.68,35,25,10,2,0.25
NO,0.46,0.28,0.7,31,23,8,5,0.55
YES,0.5,0.38,0.8,34,24,11,9,0.591
YES,0.41,0.3,0.69,38,18,8,4,0.55
YES,0.49,0.38,0.76,26,19,9,2,0.471
YES,0.53,0.29,0.68,36,26,3,3,0.81
NO,0.42,0.36,0.68,40,29,5,5,0.647
YES,0.54,0.44,0.62,38,21,5,9,0.667
NO,0.5,0.48,0.62,33,22,11,8,0.048
NO,0.44,0.4,0.81,27,21,9,3,0.571
YES,0.47,0.35,0.76,35,21,7,3,0.5
YES,0.49,0.5,0.67,36,25,5,6,0.381
YES,0.45,0.39,0.68,35,25,5,2,0.55
NO,0.46,0.33,0.85,32,24,3,4,0.421
YES,0.46,0.47,0.74,30,25,9,5,0.476
NO,0.47,0.3,0.57,25,22,9,0,0.444
NO,0.44,0.29,0.65,35,21,8,2,0.25
YES,0.44,0.38,0.77,44,20,11,1,0.571
YES,0.4,0.33,0.75,31,23,8,5,0.571
YES,0.41,0.27,0.71,43,18,8,6,0.6
NO,0.41,0.31,0.83,31,21,8,6,0.238
NO,0.48,0.36,0.89,34,25,4,4,0.455
YES,0.43,0.31,0.69,43,21,5,5,0.6
NO,0.44,0.39,0.77,35,18,10,3,0.4
YES,0.46,0.36,0.78,30,18,7,2,0.591
NO,0.46,0.29,0.72,32,28,11,8,0.611
YES,0.41,0.31,0.79,35,22,8,7,0.409
NO,0.35,0.17,0.57,25,14,3,1,0.045
NO,0.59,0.31,0.73,30,25,5,6,0.632
NO,0.44,0.42,0.81,28,23,8,3,0.6
YES,0.56,0.39,0.81,30,27,14,7,0.286
NO,0.41,0.21,0.86,22,14,6,4,0.545
NO,0.33,0.29,0.55,37,19,11,7,0.364
YES,0.51,0.43,0.8,24,18,10,4,0.667
YES,0.56,0.36,0.75,31,29,6,2,0.348
NO,0.36,0.23,0.84,31,18,7,3,0.565
YES,0.41,0.22,0.86,32,22,10,4,0.591
NO,0.44,0.2,0.83,36,20,8,3,0.45
NO,0.47,0.2,0.75,33,26,7,1,0.391
YES,0.49,0.37,0.77,33,30,4,4,0.429
NO,0.43,0.28,0.67,30,17,9,6,0.522
YES,0.49,0.41,0.47,37,27,9,5,0.619
YES,0.49,0.43,0.83,42,26,6,2,0.5
YES,0.51,0.25,0.7,33,23,9,6,0.435
YES,0.58,0.3,0.91,30,23,10,2,0.609
YES,0.49,0.53,0.77,42,24,6,2,0.636
YES,0.36,0.3,0.88,41,20,8,6,0.6
YES,0.45,0.19,0.75,34,24,6,3,0.375
YES,0.5,0.43,0.74,34,22,5,1,0.318
NO,0.4,0.35,0.76,29,19,8,5,0.542
NO,0.39,0.27,0.7,24,16,8,3,0.522
NO,0.45,0.33,0.71,31,22,5,5,0.042
NO,0.43,0.36,0.56,40,32,7,9,0.565
YES,0.54,0.43,0.6,38,26,9,6,0.792
YES,0.42,0.21,0.9,38,22,13,6,0.619
YES,0.49,0.35,0.65,32,16,9,8,0.625
YES,0.44,0.39,0.73,42,21,7,1,0.391
NO,0.42,0.29,0.67,28,17,7,4,0.476
NO,0.43,0.37,0.61,32,21,8,7,0.417
YES,0.49,0.59,0.72,34,21,9,0,0.273
NO,0.41,0.31,1,45,17,1,5,0.609
YES,0.49,0.43,0.78,36,31,12,4,0.4
YES,0.5,0.45,0.79,36,26,11,6,0.56
NO,0.44,0.26,0.83,34,17,5,2,0.304
YES,0.52,0.45,0.61,37,32,16,7,0.5
YES,0.42,0.4,0.83,41,17,6,6,0.619
NO,0.46,0.29,0.76,25,15,4,0,0.4
NO,0.38,0.21,0.81,26,21,15,3,0.56
NO,0.43,0.42,0.88,35,23,5,3,0.542
YES,0.48,0.32,0.83,28,18,9,1,0.591
YES,0.45,0.33,0.83,26,28,16,8,0.44
YES,0.41,0.32,0.74,33,14,11,9,0.64
YES,0.44,0.33,0.9,34,18,7,13,0.667
YES,0.51,0.32,0.88,37,26,8,5,0.417
NO,0.42,0.32,0.74,39,17,8,0,0.538
NO,0.39,0.24,0.93,30,25,7,4,0.538
YES,0.43,0.41,0.76,40,28,7,5,0.423
NO,0.39,0.37,0.81,30,23,5,0,0.292
YES,0.51,0.36,0.81,43,28,7,8,0.636
YES,0.49,0.38,0.76,36,17,12,1,0.56
YES,0.48,0.45,0.88,34,14,8,3,0.609
YES,0.56,0.43,0.93,39,24,6,2,0.808
YES,0.56,0.67,0.93,33,26,8,5,0.538
NO,0.32,0.28,0.86,29,18,6,6,0.56
NO,0.47,0.4,0.77,21,21,6,6,0.375
YES,0.51,0.46,0.69,38,25,13,3,0.4
YES,0.46,0.37,0.84,34,26,7,3,0.16
YES,0.49,0.52,0.74,29,13,5,4,0.556
YES,0.56,0.58,0.87,36,28,12,4,0.56
YES,0.48,0.38,0.59,42,28,9,4,0.625
YES,0.44,0.38,0.68,36,22,5,6,0.652
NO,0.47,0.25,0.71,25,24,6,3,0.28
YES,0.48,0.52,0.83,30,25,7,4,0.615
YES,0.44,0.38,0.83,36,28,2,10,0.462
NO,0.48,0.35,0.79,29,17,4,4,0.417
YES,0.62,0.48,0.88,23,32,11,7,0.556
YES,0.52,0.47,0.78,40,32,12,4,0.962
YES,0.48,0.14,0.76,37,13,6,8,0.68
YES,0.53,0.36,0.78,35,29,10,9,0.815
NO,0.43,0.21,0.56,33,22,5,5,0.154
YES,0.47,0.41,0.77,26,29,6,1,0.708
YES,0.44,0.34,0.81,45,23,5,9,0.6
NO,0.44,0.43,0.74,37,19,5,2,0.519
YES,0.42,0.25,0.88,38,17,4,4,0.64
YES,0.47,0.4,0.76,34,15,8,1,0.44
NO,0.42,0.23,0.89,42,21,5,9,0.625
YES,0.49,0.53,0.79,34,25,7,4,0.821
YES,0.44,0.34,0.9,39,27,7,4,0.556
YES,0.48,0.35,0.76,31,31,7,4,0.963
YES,0.52,0.38,0.59,33,22,10,2,0.429
NO,0.48,0.25,0.57,32,15,7,5,0.036
YES,0.46,0.13,0.71,35,19,11,5,0.577
YES,0.48,0.33,0.94,35,25,2,6,0.385
NO,0.47,0.36,0.88,30,19,4,6,0.6
YES,0.51,0.45,0.87,33,26,10,4,0.44
YES,0.5,0.25,0.83,33,19,6,2,0.5
YES,0.45,0.26,0.81,37,21,9,6,0.517
YES,0.45,0.32,0.63,42,22,7,7,0.5
YES,0.55,0.47,0.68,44,28,6,3,0.667
NO,0.47,0.33,0.83,28,27,16,5,0.556
NO,0.45,0.44,0.88,33,18,8,2,0.414
NO,0.41,0.24,0.8,33,26,7,2,0.259
NO,0.47,0.49,0.82,26,26,5,4,0.407
YES,0.47,0.44,0.81,34,25,11,6,0.72
YES,0.57,0.52,0.69,25,26,11,7,0.615
NO,0.37,0.28,0.94,36,12,8,3,0.586
NO,0.45,0.35,0.54,30,32,8,8,0.577
YES,0.46,0.25,0.71,40,18,3,4,0.517
YES,0.52,0.3,0.89,38,27,8,7,0.828
YES,0.52,0.48,0.56,38,34,6,9,0.536
NO,0.47,0.32,0.71,35,21,7,3,0.552
NO,0.51,0.29,0.88,30,21,5,6,0.483
YES,0.46,0.36,0.78,36,16,8,6,0.462
YES,0.48,0.31,0.82,29,21,8,1,0.6
YES,0.51,0.58,0.88,34,31,9,5,0.462
YES,0.47,0.46,0.78,43,20,4,4,0.6
NO,0.44,0.22,0.83,29,13,9,7,0.593
NO,0.46,0.36,0.84,31,26,2,5,0.393
NO,0.47,0.3,0.66,32,19,6,3,0.033
NO,0.36,0.29,0.72,32,19,6,6,0.536
NO,0.5,0.53,0.43,28,32,9,4,0.276
NO,0.41,0.52,0.65,34,21,9,2,0.387
YES,0.48,0.3,0.75,32,25,8,4,0.613
YES,0.52,0.44,0.69,31,26,5,3,0.586
YES,0.45,0.44,0.79,32,26,3,2,0.481
YES,0.39,0.23,0.88,34,23,6,4,0.731
NO,0.36,0.28,0.64,23,19,6,5,0.172
YES,0.6,0.42,0.75,29,34,14,12,0.4
YES,0.48,0.42,0.87,41,27,5,8,0.321
NO,0.46,0.38,0.6,32,20,14,4,0.571
NO,0.42,0.3,0.8,23,19,5,2,0.379
YES,0.47,0.39,1,31,26,10,9,0.964
NO,0.39,0.25,0.7,30,20,12,3,0.667
YES,0.41,0.28,0.74,41,21,7,10,0.966
NO,0.42,0.3,0.52,34,17,10,2,0.167
YES,0.4,0.23,0.67,46,19,10,5,0.607
YES,0.43,0.47,0.65,34,23,8,2,0.516
NO,0.38,0.24,0.68,33,16,11,2,0.548
YES,0.46,0.48,0.79,26,24,10,1,0.567
YES,0.46,0.41,0.74,39,28,9,3,0.375
YES,0.48,0.7,0.94,31,21,11,12,0.813
YES,0.51,0.54,0.81,32,25,5,8,0.333
NO,0.47,0.33,0.78,24,22,14,2,0.367
NO,0.49,0.37,0.81,28,18,7,4,0.429
YES,0.41,0.44,0.88,36,21,10,13,0.552
NO,0.54,0.47,0.46,25,31,7,2,0.567
YES,0.53,0.33,0.83,27,33,13,4,0.625
NO,0.39,0.37,0.76,29,17,10,3,0.375
NO,0.42,0.43,0.89,29,25,3,5,0.387
NO,0.48,0.29,0.31,34,24,8,5,0.267
YES,0.58,0.53,0.86,30,27,5,5,0.677
YES,0.56,0.38,0.73,34,30,11,4,0.515
YES,0.42,0.4,0.69,39,18,5,4,0.581
NO,0.39,0.38,0.81,36,22,10,5,0.4
YES,0.44,0.27,0.56,29,9,16,3,0.6
NO,0.46,0.42,0.77,31,20,9,8,0.6
NO,0.46,0.44,0.7,30,20,8,1,0.364
NO,0.39,0.29,0.67,32,19,10,3,0.483
YES,0.48,0.24,0.73,39,28,7,6,0.567
YES,0.45,0.45,0.65,28,25,9,2,0.581
YES,0.51,0.29,0.79,31,25,5,5,0.818
YES,0.55,0.41,0.64,33,28,7,1,0.581
YES,0.33,0.27,0.89,38,13,11,9,0.448
YES,0.48,0.48,0.67,46,33,12,8,0.967
YES,0.46,0.38,0.67,38,23,4,10,0.586
NO,0.54,0.55,0.67,39,23,6,4,0.485
NO,0.42,0.21,0.73,40,18,8,6,0.375
YES,0.54,0.5,0.82,30,23,5,8,0.455
YES,0.44,0.27,0.95,30,25,4,6,0.529
YES,0.5,0.36,0.92,30,21,12,7,0.688
YES,0.44,0.35,0.9,33,21,6,4,0.594
YES,0.47,0.38,0.8,35,22,8,6,0.412
YES,0.51,0.52,0.8,40,20,6,4,0.594
YES,0.43,0.33,0.81,39,15,6,10,0.6
NO,0.43,0.3,0.89,25,20,8,3,0.548
NO,0.43,0.26,0.84,36,23,7,5,0.563
NO,0.49,0.32,0.61,39,23,5,5,0.375
YES,0.57,0.43,0.61,40,26,13,5,0.824
YES,0.47,0.5,0.63,34,27,13,3,0.375
YES,0.34,0.25,0.82,40,14,5,6,0.606
NO,0.46,0.4,0.9,29,21,13,5,0.471
NO,0.44,0.28,0.67,37,21,6,3,0.313
NO,0.5,0.43,0.81,28,27,9,6,0.563
YES,0.48,0.4,0.68,40,24,7,3,0.545
YES,0.52,0.33,0.79,25,29,12,5,0.697
YES,0.5,0.45,0.73,30,19,7,5,0.452
YES,0.4,0.45,0.94,34,21,6,4,0.618
YES,0.56,0.44,0.67,42,24,4,1,0.594
YES,0.46,0.62,0.8,40,27,4,9,0.613
YES,0.47,0.31,0.9,34,25,11,5,0.484
YES,0.38,0.31,0.76,37,17,11,6,0.206
NO,0.39,0.22,0.79,35,17,8,4,0.545
YES,0.5,0.36,0.65,38,34,9,5,0.939
YES,0.45,0.39,0.72,41,11,7,9,0.576
YES,0.52,0.54,0.95,31,31,9,2,0.829
YES,0.41,0.33,0.75,39,17,4,7,0.469
NO,0.39,0.21,0.67,31,19,10,6,0.353
NO,0.43,0.38,0.84,30,20,10,2,0.559
NO,0.35,0.27,0.76,27,18,7,7,0.515
YES,0.41,0.32,0.62,41,24,6,1,0.71
YES,0.6,0.52,0.8,41,28,7,6,0.629
YES,0.61,0.39,0.79,36,30,9,2,0.394
YES,0.5,0.42,0.86,34,27,8,7,0.457
NO,0.46,0.42,0.84,24,21,6,8,0.6
NO,0.34,0.13,0.69,34,19,5,2,0.469
YES,0.45,0.36,0.76,45,26,8,7,0.229
NO,0.42,0.32,0.65,26,20,7,6,0.343
NO,0.38,0.21,0.89,37,16,4,6,0.294
YES,0.52,0.44,1,34,32,4,9,0.941
NO,0.4,0.41,0.76,29,17,9,4,0.455
YES,0.38,0.23,0.77,37,14,5,6,0.618
NO,0.39,0.25,0.62,35,14,7,4,0.405
YES,0.55,0.2,0.64,25,31,11,10,0.108
YES,0.49,0.47,0.71,36,25,6,6,0.543
NO,0.44,0.34,0.7,28,23,7,9,0.686
NO,0.48,0.25,0.7,25,23,6,5,0.389
YES,0.55,0.52,0.88,29,25,6,4,0.719
NO,0.32,0.24,0.83,37,15,7,4,0.222
YES,0.55,0.26,1,38,27,5,10,0.636
NO,0.43,0.38,0.63,27,22,3,4,0.583
YES,0.46,0.41,0.65,42,22,13,2,0.571
YES,0.49,0.58,0.77,37,25,11,2,0.342
NO,0.55,0.58,0.63,28,31,7,1,0.455
NO,0.37,0.23,0.8,36,22,7,5,0.324
NO,0.38,0.27,0.75,32,23,5,5,0.333
NO,0.37,0.21,0.74,26,23,5,5,0.543
NO,0.41,0.19,0.94,30,17,7,6,0.528
NO,0.44,0.35,0.57,32,21,5,4,0.395
YES,0.46,0.47,0.85,39,20,3,6,0.694
NO,0.45,0.12,0.93,23,14,2,4,0.6
NO,0.4,0.31,0.58,33,18,8,4,0.286
YES,0.6,0.43,0.77,30,34,10,2,0.838
NO,0.45,0.28,0.6,29,21,9,4,0.105
YES,0.41,0.41,0.82,42,23,4,5,0.647
YES,0.55,0.29,0.67,27,32,8,6,0.417
YES,0.52,0.3,0.69,30,15,11,3,0.486
NO,0.46,0.44,0.77,26,24,8,2,0.324
YES,0.46,0.44,0.62,28,24,11,4,0.395
YES,0.37,0.44,0.77,32,14,10,6,0.526
NO,0.4,0.36,0.71,33,21,12,4,0.385
NO,0.37,0.31,0.75,29,21,21,5,0.314
NO,0.43,0.25,0.69,31,15,5,4,0.333
YES,0.44,0.31,0.82,37,23,5,9,0.842
NO,0.48,0.35,0.96,24,19,9,5,0.211
NO,0.4,0.32,0.6,31,17,4,2,0.278
NO,0.39,0.32,0.93,28,18,9,9,0.441
YES,0.47,0.3,0.64,36,23,10,5,0.568
YES,0.44,0.26,0.9,34,19,6,9,0.649
YES,0.52,0.42,0.8,32,33,15,13,0.605
NO,0.47,0.35,0.76,27,27,8,3,0.405
YES,0.55,0.45,0.61,32,19,10,7,0.444
NO,0.49,0.65,0.43,26,26,9,5,0.103
NO,0.51,0.36,0.75,26,22,9,2,0.526
YES,0.37,0.25,0.88,37,12,8,9,0.538
YES,0.42,0.44,0.83,36,25,7,7,0.368
NO,0.45,0.33,0.47,41,22,6,7,0.1
NO,0.42,0.25,0.77,27,23,8,2,0.316
YES,0.44,0.37,0.65,39,24,11,3,0.5
YES,0.46,0.29,0.83,31,25,5,7,0.487
YES,0.47,0.33,0.53,39,26,8,3,0.658
YES,0.42,0.43,0.86,32,27,7,4,0.4
NO,0.33,0.14,0.87,25,15,9,4,0.205
YES,0.48,0.3,0.73,40,25,5,1,0.947
NO,0.45,0.17,0.85,25,15,5,3,0.263
NO,0.42,0.41,0.85,34,18,5,6,0.611
YES,0.53,0.35,0.9,33,24,5,5,0.5
YES,0.46,0.23,0.61,26,28,11,9,0.4
NO,0.49,0.39,0.82,37,25,4,7,0.564
NO,0.46,0.39,0.75,18,22,9,3,0.525
YES,0.37,0.21,0.78,36,16,7,4,0.225
NO,0.44,0.39,0.74,34,22,7,6,0.308
YES,0.52,0.42,0.77,33,25,13,5,0.579
NO,0.42,0.26,0.65,30,22,8,2,0.553
YES,0.44,0.33,0.85,43,26,8,9,0.474
YES,0.46,0.45,0.59,41,24,11,5,0.7
YES,0.43,0.23,0.89,36,22,7,3,0.385
YES,0.44,0.35,0.7,35,24,7,2,0.513
YES,0.43,0.44,0.81,33,26,18,5,0.667
YES,0.45,0.44,0.75,21,27,18,4,0.486
YES,0.49,0.23,0.68,31,19,11,3,0.525
NO,0.49,0.26,0.64,42,21,4,7,0.395
YES,0.52,0.53,0.79,37,24,8,3,0.282
YES,0.44,0.42,0.67,37,25,7,10,0.415
NO,0.45,0.44,0.75,23,23,13,5,0.098
YES,0.46,0.29,0.82,34,17,6,7,0.854
YES,0.49,0.56,0.8,24,21,13,3,0.537
YES,0.5,0.39,0.85,35,26,12,4,0.925
NO,0.42,0.18,0.74,28,12,8,3,0.436
NO,0.45,0.39,0.75,40,28,4,9,0.513
YES,0.42,0.3,0.68,39,19,9,13,0.405
YES,0.49,0.44,0.85,30,29,7,7,0.333
NO,0.35,0.24,0.66,30,15,10,6,0.512
NO,0.36,0.11,0.87,35,16,6,2,0.59
NO,0.41,0.33,0.96,31,23,4,6,0.375
YES,0.53,0.22,0.64,28,31,10,7,0.707
YES,0.44,0.47,0.66,39,30,12,5,0.525
NO,0.45,0.42,0.71,30,22,6,5,0.275
NO,0.48,0.18,0.78,29,19,9,3,0.55
YES,0.56,0.28,0.75,35,34,14,5,0.585
NO,0.45,0.27,0.86,28,25,13,5,0.487
YES,0.47,0.35,0.55,40,22,8,11,0.55
YES,0.49,0.5,0.83,40,17,8,8,0.45
NO,0.38,0.25,0.77,22,27,8,2,0.45
YES,0.48,0.5,0.77,31,24,2,5,0.548
YES,0.55,0.43,0.67,42,27,9,8,0.119
NO,0.4,0.33,0.74,32,24,6,4,0.65
YES,0.47,0.25,0.82,45,22,7,5,0.857
NO,0.45,0.32,0.79,33,25,8,7,0.209
YES,0.51,0.38,0.71,25,25,12,4,0.39
YES,0.45,0.32,1,31,24,11,8,0.714
YES,0.57,0.39,0.8,33,23,11,7,0.31
YES,0.51,0.54,0.72,28,24,8,4,0.634
YES,0.43,0.47,0.92,40,23,4,2,0.558
NO,0.44,0.19,0.6,30,18,8,2,0.537
NO,0.48,0.37,0.68,28,22,3,4,0.718
YES,0.52,0.59,0.73,32,28,10,6,0.659
YES,0.47,0.42,0.77,29,27,9,3,0.558
YES,0.51,0.47,0.7,43,31,9,6,0.595
YES,0.44,0.4,0.83,43,26,6,8,0.488
NO,0.48,0.43,0.75,31,25,6,3,0.475
YES,0.47,0.52,0.88,43,20,6,4,0.463
NO,0.35,0.31,0.93,40,15,4,2,0.302
NO,0.36,0.23,0.77,26,13,6,2,0.548
YES,0.51,0.43,0.87,28,21,9,6,0.341
NO,0.42,0.35,0.75,36,21,5,6,0.381
NO,0.44,0.29,0.64,37,23,5,4,0.422
YES,0.55,0.38,0.71,28,23,7,5,0.643
YES,0.47,0.38,0.73,37,28,9,3,0.727
NO,0.42,0.21,0.5,30,20,4,4,0.256
NO,0.45,0.5,0.89,37,21,7,3,0.5
NO,0.37,0.05,0.79,33,14,4,4,0.585
YES,0.52,0.31,0.85,23,27,11,3,0.488
YES,0.43,0.2,0.77,37,18,11,2,0.568
NO,0.39,0.24,0.65,34,19,12,3,0.488
NO,0.36,0.16,0.81,29,17,6,5,0.205
YES,0.52,0.41,0.94,26,20,3,7,0.5
YES,0.36,0.29,0.75,39,24,13,4,0.452
YES,0.53,0.42,1,33,26,8,5,0.357
YES,0.51,0.46,0.75,33,29,5,2,0.732
NO,0.45,0.3,0.77,30,26,6,1,0.372
NO,0.4,0.33,0.83,34,18,3,4,0.295
NO,0.49,0.48,0.79,41,31,6,9,0.476
YES,0.45,0.35,0.76,30,26,14,6,0.523
YES,0.48,0.42,0.88,36,31,9,4,0.909
NO,0.39,0.22,0.9,30,24,5,2,0.489
YES,0.47,0.52,0.86,35,19,4,8,0.651
YES,0.4,0.34,0.69,27,27,10,10,0.511
NO,0.46,0.3,0.89,26,24,9,6,0.556
NO,0.45,0.38,0.72,33,19,3,5,0.2
NO,0.44,0.38,0.78,18,24,5,2,0.25
YES,0.4,0.42,0.77,37,22,10,6,0.311
NO,0.37,0.17,0.41,32,17,5,5,0.714
YES,0.46,0.36,0.83,29,18,15,4,0.386
YES,0.45,0.31,0.75,39,19,7,4,0.465
YES,0.51,0.32,0.77,28,26,12,1,0.435
YES,0.5,0.29,0.92,30,26,7,5,0.311
YES,0.46,0.55,0.76,29,33,10,4,0.372
YES,0.34,0.29,0.86,38,17,5,3,0.477
NO,0.39,0.31,0.7,34,17,12,6,0.133
YES,0.48,0.34,0.67,31,27,9,7,0.522
YES,0.49,0.55,0.69,36,19,8,3,0.659
YES,0.48,0.47,0.72,31,24,10,7,0.267
NO,0.39,0.3,0.89,31,18,10,3,0.378
NO,0.43,0.29,0.67,34,24,5,3,0.476
NO,0.53,0.3,0.78,47,36,4,8,0.455
NO,0.4,0.31,0.83,37,18,5,4,0.432
NO,0.46,0.45,0.56,34,23,8,4,0.364
NO,0.4,0.28,0.75,37,18,5,3,0.568
YES,0.51,0.35,0.65,31,30,7,3,0.721
YES,0.43,0.33,0.64,36,25,12,5,0.565
YES,0.52,0.42,0.84,35,31,15,3,0.911
NO,0.41,0.28,0.82,39,15,4,7,0.191
NO,0.42,0.31,0.58,36,18,7,2,0.511
NO,0.51,0.5,0.74,29,24,5,2,0.261
NO,0.46,0.48,0.77,33,24,9,7,0.468
YES,0.49,0.38,0.84,34,22,5,7,0.426
YES,0.48,0.39,0.67,33,25,9,6,0.152
YES,0.49,0.3,0.79,38,28,6,8,0.447
YES,0.44,0.38,0.78,37,20,7,3,0.667
YES,0.49,0.39,0.67,38,23,10,6,0.444
YES,0.58,0.48,0.9,33,33,5,4,0.913
YES,0.43,0.32,0.83,34,29,15,5,0.553
YES,0.56,0.52,0.86,37,34,7,3,0.848
NO,0.42,0.43,0.5,41,21,6,3,0.574
NO,0.56,0.36,0.64,23,31,6,4,0.298
YES,0.43,0.24,0.71,30,15,9,2,0.543
YES,0.56,0.39,0.88,27,34,12,3,0.727
YES,0.49,0.6,0.87,39,20,10,8,0.522
NO,0.38,0.36,0.78,30,21,6,4,0.188
NO,0.44,0.39,0.8,29,21,13,7,0.455
YES,0.48,0.36,0.85,28,28,7,5,0.574
YES,0.44,0.4,0.72,35,21,7,11,0.674
YES,0.44,0.38,0.75,35,25,9,6,0.378
YES,0.46,0.38,0.6,39,22,6,5,0.551
YES,0.49,0.35,0.75,38,24,10,4,0.458
NO,0.48,0.3,0.73,30,20,5,4,0.532
YES,0.48,0.42,0.87,46,23,6,7,0.735
YES,0.49,0.31,0.71,33,20,10,9,0.66
NO,0.48,0.17,0.89,27,18,10,5,0.408
YES,0.53,0.4,0.81,30,24,8,5,0.457
YES,0.5,0.42,0.81,38,28,8,6,0.563
YES,0.43,0.35,0.88,39,24,12,7,0.469
YES,0.46,0.41,0.8,34,24,6,6,0.391
YES,0.44,0.33,0.75,35,26,6,10,0.532
YES,0.46,0.29,0.74,32,12,9,3,0.681
NO,0.46,0.34,0.52,32,23,18,4,0.146
YES,0.52,0.44,0.84,30,23,15,9,0.583
YES,0.55,0.39,0.86,33,24,4,4,0.739
NO,0.48,0.49,0.7,27,24,8,3,0.5
YES,0.48,0.25,0.85,37,21,10,4,0.563
YES,0.54,0.42,0.6,38,27,7,6,0.457
NO,0.34,0.28,0.87,38,13,6,8,0.18
YES,0.54,0.53,0.68,39,26,8,6,0.667
NO,0.37,0.33,0.88,29,19,6,4,0.46
YES,0.42,0.22,0.87,29,16,7,5,0.469
YES,0.4,0.28,0.91,29,15,9,1,0.56
YES,0.45,0.39,0.67,40,19,5,4,0.468
NO,0.43,0.3,0.86,27,24,11,7,0.521
YES,0.52,0.4,0.74,45,29,2,6,0.56
NO,0.49,0.44,0.87,32,28,5,4,0.245
NO,0.41,0.38,0.62,23,19,8,4,0.383
YES,0.45,0.35,0.8,35,21,7,3,0.438
YES,0.51,0.38,0.86,37,27,6,10,0.833
YES,0.54,0.45,0.8,42,28,6,5,0.388
YES,0.52,0.32,0.78,39,25,9,5,0.74
NO,0.38,0.3,0.75,34,13,3,4,0.451
YES,0.52,0.46,0.69,31,30,9,6,0.51
YES,0.46,0.35,0.72,39,25,6,7,0.48
YES,0.5,0.46,0.77,24,23,9,2,0.196
NO,0.47,0.39,0.73,30,23,5,4,0.28
NO,0.42,0.22,0.71,32,27,7,10,0.143
NO,0.48,0.3,0.63,36,21,12,8,0.429
YES,0.49,0.33,0.83,38,26,4,3,0.49
YES,0.45,0.23,0.7,30,14,4,10,0.479
YES,0.44,0.33,0.85,43,28,8,7,0.569
NO,0.51,0.35,0.7,34,26,16,4,0.447
NO,0.44,0.3,0.68,31,25,5,2,0.24
NO,0.39,0.4,0.74,38,18,4,5,0.538
NO,0.44,0.34,0.74,24,20,10,6,0.653
YES,0.52,0.6,0.94,32,30,6,8,0.837
YES,0.47,0.33,0.8,31,25,7,10,0.745
NO,0.39,0.38,0.94,36,22,9,1,0.275
NO,0.46,0.2,0.54,33,16,8,4,0.367
YES,0.51,0.53,0.67,38,17,7,3,0.529
NO,0.47,0.4,0.74,30,21,8,6,0.471
NO,0.43,0.27,0.6,32,21,8,6,0.714
