HOME_TEAM_WINS,FGP_H,FG3P_H,FTP_H,DREB_H,AST_H,STL_H,BLK_H,RANKING_H
NO,0.39,0.32,0.71,25,17,11,7,0.778
YES,0.51,0.34,0.83,42,33,14,5,0.667
YES,0.51,0.67,0.79,22,24,9,4,0.889
NO,0.43,0.28,0.93,34,16,3,6,0.556
NO,0.55,0.3,0.83,31,32,7,1,0.375
NO,0.4,0.36,0.5,31,17,2,7,0.3
NO,0.4,0.33,0.17,32,23,9,7,0.3
YES,0.56,0.39,0.83,33,33,10,5,0.625
YES,0.44,0.42,0.78,35,22,7,3,0.4
YES,0.67,0.75,0.75,31,31,13,3,0.625
YES,0.37,0.21,0.62,34,16,17,11,0.889
NO,0.37,0.17,0.71,35,17,6,5,0.111
NO,0.48,0.62,0.85,24,15,12,1,0.2
YES,0.54,0.61,0.77,35,39,12,2,0.625
YES,0.42,0.42,0.74,34,26,6,3,0.7
YES,0.52,0.42,0.79,40,30,7,3,0.778
YES,0.37,0.27,0.82,35,18,5,4,0.9
NO,0.42,0.24,0.7,24,18,6,7,0.7
YES,0.55,0.31,0.83,28,31,5,10,0.7
YES,0.5,0.3,0.69,31,31,5,8,0.778
YES,0.53,0.48,0.79,43,24,5,12,0.625
YES,0.43,0,0.83,34,19,5,6,0.6
YES,0.51,0.38,0.74,29,15,6,5,0.8
YES,0.54,0.43,0.78,35,16,9,3,0.273
NO,0.39,0.19,0.79,28,17,9,4,0.1
NO,0.29,0.16,0.79,34,14,6,15,0.273
NO,0.41,0.44,0.59,34,19,10,6,0.5
NO,0.44,0.3,0.45,31,20,2,5,0.556
NO,0.4,0.45,0.46,28,22,1,3,0.364
NO,0.43,0.34,0.83,33,18,7,8,0.556
YES,0.53,0.41,0.91,28,27,14,5,0.909
NO,0.41,0.39,0.62,24,18,10,5,0.4
YES,0.5,0.37,0.83,33,20,7,1,0.727
NO,0.4,0.46,0.75,31,17,5,4,0.273
YES,0.44,0.38,0.86,46,27,9,8,0.6
NO,0.52,0.4,0.65,33,28,10,4,0.333
NO,0.48,0.33,0.78,25,22,7,3,0.5
NO,0.44,0.36,0.69,35,23,3,2,0.545
YES,0.55,0.53,0.81,27,30,5,0,0.545
YES,0.43,0.42,0.69,43,22,8,4,0.417
NO,0.4,0.33,0.71,35,22,10,2,0
YES,0.45,0.13,0.67,37,15,3,3,0.417
NO,0.44,0.45,0.86,33,25,8,3,0.7
NO,0.4,0.33,0.78,37,21,5,1,0.385
NO,0.41,0.39,0.74,32,20,8,6,0.75
YES,0.46,0.35,0.85,28,24,9,6,0.818
NO,0.48,0.29,0.72,39,26,7,6,0.364
YES,0.49,0.5,0.73,20,26,15,2,0.3
YES,0.49,0.34,0.77,30,25,6,5,0.364
NO,0.38,0.28,0.68,28,21,9,1,0.25
NO,0.45,0.39,0.69,28,23,7,5,0.5
YES,0.51,0.67,0.85,33,26,5,4,0.583
NO,0.45,0.23,0.87,24,11,10,3,0.5
NO,0.45,0.2,0.63,23,18,9,9,0.214
YES,0.53,0.5,0.93,41,31,4,4,0.846
YES,0.49,0.56,0.82,40,26,8,5,0.75
YES,0.49,0.4,0.56,35,24,10,5,0.727
YES,0.48,0.21,0.69,38,20,7,5,0.545
YES,0.62,0.51,0.71,28,37,4,2,0.769
YES,0.52,0.6,0.79,42,27,8,4,0.833
YES,0.52,0.46,0.8,33,24,8,10,0.417
NO,0.46,0.35,0.6,35,22,4,7,0.308
NO,0.46,0.17,0.61,29,18,10,1,0
NO,0.41,0.31,0.64,23,16,12,3,0.273
YES,0.5,0.26,0.68,34,28,10,5,0.818
YES,0.52,0.38,0.82,42,29,7,9,0.692
YES,0.37,0.33,0.87,33,17,8,0,0.769
NO,0.45,0.19,0.7,26,18,10,2,0.4
NO,0.46,0.36,0.79,31,15,6,8,0.357
YES,0.5,0.35,0.9,34,15,7,2,0.286
NO,0.37,0.3,0.7,32,18,9,5,0.385
NO,0.41,0.35,0.78,22,23,10,7,0.25
NO,0.43,0.19,0.69,35,24,4,6,0.417
NO,0.43,0.33,0.88,28,21,11,7,0.5
YES,0.5,0.48,0.89,33,19,4,5,0.571
NO,0.37,0.12,0.74,41,15,10,6,0.214
NO,0.36,0.18,0.7,44,13,3,12,0.2
YES,0.49,0.33,0.7,40,20,3,3,0.857
NO,0.39,0.22,0.75,34,17,12,1,0.333
NO,0.49,0.33,0.8,30,22,9,6,0.333
NO,0.5,0.33,0.57,31,21,6,6,0.667
NO,0.41,0.1,0.8,28,21,6,4,0.267
YES,0.42,0.39,0.68,28,19,13,4,0.786
YES,0.52,0.38,0.73,32,30,14,9,0.462
YES,0.45,0.24,0.81,29,21,9,3,0.857
NO,0.5,0,0.83,22,28,11,6,0
NO,0.43,0.45,0.72,31,25,2,3,0.692
YES,0.51,0.5,0.74,31,22,5,7,0.5
YES,0.43,0.45,0.77,31,22,9,2,0.533
NO,0.39,0.43,0.78,28,16,7,4,0.533
NO,0.42,0.18,0.69,26,15,3,6,0.538
NO,0.4,0.38,0.82,29,23,11,5,0
YES,0.51,0.52,0.81,28,27,9,8,0.625
NO,0.41,0.3,0.75,34,21,8,1,0.353
YES,0.55,0.33,0.66,37,21,8,5,0.714
NO,0.45,0.37,0.75,26,18,8,4,0.2
NO,0.41,0.42,0.79,30,16,6,9,0.2
NO,0.38,0.21,0.62,24,19,11,6,0.231
YES,0.4,0.13,0.76,36,20,12,5,0.688
NO,0.44,0.33,0.67,37,29,3,5,0.25
YES,0.45,0.34,0.4,28,26,13,5,0.8
NO,0.51,0.42,0.88,23,31,2,4,0.538
YES,0.48,0.46,0.5,33,21,9,7,0.25
YES,0.51,0.3,0.82,25,23,13,2,0.5
NO,0.4,0.27,0.76,30,20,7,2,0.308
NO,0.42,0.42,0.75,40,17,7,1,0.813
NO,0.44,0.32,0.83,36,27,4,8,0.235
NO,0.39,0.27,0.73,32,17,7,6,0.75
NO,0.4,0.29,0.72,30,22,6,6,0.75
NO,0.41,0.26,0.56,25,25,8,5,0.188
NO,0.54,0.38,0.68,23,27,12,1,0.188
YES,0.5,0.29,0.86,31,26,6,7,0.571
YES,0.44,0.42,0.83,39,20,9,0,0.294
YES,0.44,0.25,0.86,36,25,7,3,0.438
YES,0.47,0.38,0.89,42,20,10,3,0.5
YES,0.51,0.5,0.8,29,29,8,9,0.733
YES,0.53,0.52,0.81,39,31,8,5,0.6
NO,0.42,0.29,0.81,33,26,10,4,0
NO,0.45,0.32,0.89,24,23,7,5,0.556
YES,0.53,0.44,0.62,35,20,4,6,0.533
NO,0.45,0.33,0.64,25,19,6,2,0.294
YES,0.46,0.42,0.67,34,21,9,9,0.667
NO,0.37,0.14,0.75,27,16,9,0,0.4
NO,0.36,0.48,0.67,29,25,11,5,0.176
NO,0.47,0.09,0.67,31,16,7,4,0.529
NO,0.35,0.12,0.7,30,14,6,3,0.222
YES,0.45,0.36,0.68,39,27,8,9,0.765
NO,0.4,0.27,0.83,32,22,5,3,0.556
NO,0.41,0.33,0.73,30,21,5,5,0.286
YES,0.49,0.42,0.74,42,24,4,7,0.235
NO,0.43,0.39,0.73,34,18,3,6,0.278
YES,0.54,0.53,0.79,35,29,7,3,0.688
YES,0.51,0.44,0.83,41,33,5,7,0.706
NO,0.43,0.41,0.6,34,22,9,3,0
NO,0.43,0.39,0.86,27,22,8,3,0.211
YES,0.52,0.46,0.86,27,36,8,8,0.625
NO,0.46,0.31,0.79,37,38,5,6,0.611
YES,0.5,0.48,0.69,35,18,13,5,0.579
NO,0.37,0.29,0.77,33,20,6,5,0.167
YES,0.53,0.29,0.71,33,22,5,5,0.563
YES,0.44,0.29,0.64,33,23,13,11,0.5
YES,0.46,0.3,0.78,36,25,8,5,0.882
NO,0.51,0.35,0.74,34,21,8,2,0.5
NO,0.52,0.3,0.76,21,28,5,3,0.5
NO,0.56,0.38,0.75,26,25,10,5,0.5
NO,0.4,0.13,0.91,35,17,5,3,0.211
NO,0.52,0.64,0.69,31,24,11,2,0.5
YES,0.4,0.43,0.81,41,28,8,6,0.313
YES,0.48,0.32,0.79,41,33,6,3,0.706
YES,0.44,0.36,0.65,29,22,14,8,0.778
YES,0.54,0.39,0.72,38,32,11,6,0.722
NO,0.36,0.18,0.82,39,17,8,5,0.235
YES,0.41,0.47,0.67,45,20,2,2,0.471
NO,0.48,0.29,0.8,22,21,7,5,0.263
NO,0.42,0.31,0.83,30,26,11,3,0.2
YES,0.4,0.19,0.78,43,20,9,5,0.789
YES,0.47,0.45,0.47,38,31,11,8,0.889
NO,0.38,0.17,0.63,42,16,4,2,0.444
NO,0.41,0.33,0.65,26,25,4,4,0.75
YES,0.53,0.35,0.81,38,35,12,11,0.722
NO,0.46,0.3,0.7,29,23,12,5,0.222
YES,0.43,0.2,0.7,38,16,6,2,0.526
YES,0.51,0.4,0.59,44,29,6,2,0.353
YES,0.57,0.56,0.85,33,21,11,3,0.524
YES,0.48,0.22,0.83,31,19,2,7,0.25
NO,0.38,0.29,0.63,25,25,13,2,0.053
NO,0.46,0.5,0.62,28,23,4,6,0.25
NO,0.45,0.21,0.73,28,13,5,1,0.714
NO,0.46,0.42,0.85,30,19,4,7,0.789
NO,0.43,0.33,0.85,33,24,6,3,0.6
YES,0.57,0.39,0.88,35,30,5,6,0.75
YES,0.55,0.53,0.71,32,34,7,6,0.737
NO,0.44,0.27,0.79,26,22,5,2,0.5
NO,0.39,0.26,0.77,35,22,11,6,0.15
YES,0.41,0.41,0.74,38,16,7,7,0.8
YES,0.41,0.37,0.74,32,26,9,4,0.684
YES,0.59,0.62,0.82,31,24,7,4,0.8
YES,0.58,0.39,0.79,28,29,14,8,0.727
NO,0.4,0.26,0.67,27,18,4,6,0.238
