"DATE","VISITOR_TEAM_ID","HOME_TEAM_ID","SEASON","HOME_TEAM_WINS","FGM_H","FGA_H","FGP_H","FG3M_H","FG3A_H","FG3P_H","FTM_H","FTA_H","FTP_H","OREB_H","DREB_H","REB_H","AST_H","STL_H","BLK_H","TO_H","PF_H","PTS_H","FGM_A","FGA_A","FGP_A","FG3M_A","FG3A_A","FG3P_A","FTM_A","FTA_A","FTP_A","OREB_A","DREB_A","REB_A","AST_A","STL_A","BLK_A","TO_A","PF_A","PTS_A","WIN_H","LOSE_H","RANKING_H","HOME_RECORD_H","ROAD_RECORD_H","WIN_A","LOSE_A","RANKING_A","HOME_RECORD_A","ROAD_RECORD_A"
"2016-10-28","HOU","DAL",2016,"NO",35,80,0.44,8,29,0.28,20,24,0.83,6,28,34,13,11,2,9,21,98,33,70,0.47,15,32,0.47,25,31,0.81,5,36,41,21,6,1,18,22,106,0,2,0,"0-1","0-1",1,1,0.5,"0-0","1-1"
"2016-10-28","IND","BKN",2016,"YES",38,87,0.44,10,33,0.3,17,20,0.85,12,40,52,20,6,4,16,23,103,37,98,0.38,7,24,0.29,13,20,0.65,14,35,49,22,7,6,13,22,94,1,1,0.5,"1-0","0-1",1,1,0.5,"1-0","0-1"
"2016-10-28","LAL","UTA",2016,"YES",31,75,0.41,6,25,0.24,28,40,0.7,13,34,47,14,4,7,14,18,96,32,84,0.38,9,23,0.39,16,21,0.76,11,32,43,16,6,7,14,29,89,1,1,0.5,"1-0","0-1",1,1,0.5,"1-0","0-1"
"2016-10-28","ORL","DET",2016,"YES",48,95,0.51,7,19,0.37,5,6,0.83,9,44,53,27,8,4,12,11,108,33,95,0.35,8,26,0.31,8,12,0.67,14,30,44,20,8,3,9,13,82,1,1,0.5,"1-0","0-1",0,2,0,"0-1","0-1"
"2016-10-28","PHX","OKC",2016,"YES",40,96,0.42,5,21,0.24,28,38,0.74,14,43,57,13,11,3,22,24,113,42,94,0.45,5,28,0.18,21,32,0.66,7,37,44,15,11,3,15,29,110,2,0,1,"1-0","1-0",0,2,0,"0-1","0-1"
"2016-10-29","ATL","PHI",2016,"NO",28,80,0.35,5,18,0.28,11,15,0.73,4,35,39,16,9,5,20,20,72,42,85,0.49,5,20,0.25,15,23,0.65,6,41,47,31,11,7,12,14,104,0,2,0,"0-2","0-0",2,0,1,"1-0","1-0"
"2016-10-29","BKN","MIL",2016,"YES",41,88,0.47,8,22,0.36,20,24,0.83,8,36,44,25,14,5,14,23,110,37,84,0.44,11,34,0.32,23,28,0.82,11,34,45,23,12,6,18,22,108,1,1,0.5,"1-1","0-0",1,2,0.333,"1-0","0-2"
"2016-10-29","BOS","CHA",2016,"NO",32,79,0.41,9,32,0.28,25,33,0.76,6,32,38,22,8,6,8,17,98,39,81,0.48,15,31,0.48,11,17,0.65,4,38,42,25,4,6,13,26,104,2,1,0.667,"0-1","2-0",2,1,0.667,"1-0","1-1"
"2016-10-29","IND","CHI",2016,"YES",45,86,0.52,9,21,0.43,19,21,0.9,13,34,47,34,8,6,12,14,118,43,88,0.49,7,18,0.39,8,9,0.89,8,25,33,34,8,7,13,16,101,2,0,1,"2-0","0-0",1,2,0.333,"1-0","0-2"
"2016-10-29","MEM","NYK",2016,"YES",40,76,0.53,6,21,0.29,25,39,0.64,6,35,41,24,4,4,12,25,111,37,86,0.43,9,25,0.36,21,26,0.81,11,29,40,19,3,2,12,30,104,1,1,0.5,"1-0","0-1",1,1,0.5,"1-0","0-1"
"2016-10-29","MIN","SAC",2016,"YES",39,85,0.46,9,26,0.35,19,25,0.76,11,20,31,24,6,5,13,24,106,37,70,0.53,7,22,0.32,22,31,0.71,7,29,36,19,6,5,11,25,103,2,1,0.667,"1-1","1-0",0,2,0,"0-0","0-2"
"2016-10-29","NOP","SAS",2016,"YES",35,83,0.42,10,24,0.42,18,23,0.78,6,44,50,21,6,7,9,15,98,32,86,0.37,4,22,0.18,11,15,0.73,7,38,45,14,6,5,9,19,79,3,0,1,"1-0","2-0",0,3,0,"0-2","0-1"
"2016-10-29","ORL","CLE",2016,"YES",36,88,0.41,11,37,0.3,22,30,0.73,13,27,40,17,8,6,9,27,105,38,84,0.45,8,28,0.29,15,26,0.58,13,37,50,21,6,5,20,23,99,3,0,1,"2-0","1-0",0,3,0,"0-1","0-2"
"2016-10-29","POR","DEN",2016,"NO",38,100,0.38,6,23,0.26,31,39,0.79,16,45,61,19,10,5,17,21,113,45,98,0.46,10,32,0.31,15,21,0.71,5,40,45,23,10,8,15,30,115,1,1,0.5,"0-1","1-0",2,1,0.667,"1-1","1-0"
"2016-10-30","DAL","HOU",2016,"YES",34,81,0.42,11,31,0.35,14,21,0.67,9,38,47,16,5,4,17,21,93,32,86,0.37,11,31,0.35,17,20,0.85,13,30,43,17,8,3,9,17,92,2,1,0.667,"1-0","1-1",0,3,0,"0-1","0-2"
"2016-10-30","GSW","PHX",2016,"NO",37,90,0.41,8,23,0.35,18,25,0.72,11,39,50,19,10,6,11,26,100,35,83,0.42,8,29,0.28,28,33,0.85,7,36,43,27,6,5,15,23,106,0,3,0,"0-2","0-1",2,1,0.667,"0-1","2-0"
"2016-10-30","LAL","OKC",2016,"YES",45,95,0.47,9,26,0.35,14,17,0.82,10,35,45,29,15,6,19,22,113,35,87,0.4,7,32,0.22,19,24,0.79,11,30,41,20,15,2,21,18,96,3,0,1,"2-0","1-0",1,2,0.333,"1-0","0-2"
"2016-10-30","MIL","DET",2016,"YES",39,88,0.44,5,20,0.25,15,20,0.75,16,42,58,23,8,4,15,14,98,34,87,0.39,4,17,0.24,11,14,0.79,10,30,40,22,10,4,12,16,83,2,1,0.667,"2-0","0-1",1,2,0.333,"1-1","0-1"
"2016-10-30","SAS","MIA",2016,"NO",37,80,0.46,7,20,0.35,18,26,0.69,6,30,36,19,7,6,12,24,99,37,82,0.45,10,18,0.56,22,26,0.85,14,30,44,20,4,5,15,26,106,1,2,0.333,"0-2","1-0",4,0,1,"1-0","3-0"
"2016-10-30","UTA","LAC",2016,"YES",34,83,0.41,6,27,0.22,14,20,0.7,14,35,49,17,8,4,13,14,88,29,73,0.4,7,19,0.37,10,13,0.77,7,36,43,18,8,2,18,22,75,2,0,1,"1-0","1-0",1,2,0.333,"1-0","0-2"
"2016-10-30","WAS","MEM",2016,"YES",39,88,0.44,15,31,0.48,19,26,0.73,11,36,47,24,9,2,14,26,112,38,86,0.44,5,25,0.2,22,25,0.88,8,32,40,19,8,4,14,23,103,2,1,0.667,"2-0","0-1",0,2,0,"0-0","0-2"
"2016-10-31","CHI","BKN",2016,"NO",33,96,0.34,5,31,0.16,17,21,0.81,16,29,45,14,12,3,15,15,88,45,89,0.51,11,27,0.41,17,18,0.94,13,45,58,26,9,9,19,22,118,1,3,0.25,"1-1","0-2",3,0,1,"2-0","1-0"
"2016-10-31","DEN","TOR",2016,"YES",41,88,0.47,4,16,0.25,19,25,0.76,11,32,43,16,7,9,7,28,105,33,81,0.41,9,22,0.41,27,35,0.77,11,35,46,14,2,9,8,18,102,2,1,0.667,"2-1","0-0",1,2,0.333,"0-1","1-1"
"2016-10-31","PHX","LAC",2016,"YES",40,80,0.5,6,16,0.38,30,38,0.79,5,39,44,21,8,4,16,23,116,35,84,0.42,5,15,0.33,23,31,0.74,10,34,44,19,11,0,20,33,98,3,0,1,"2-0","1-0",0,4,0,"0-2","0-2"
"2016-10-31","SAC","ATL",2016,"YES",33,79,0.42,11,30,0.37,29,47,0.62,17,26,43,24,11,6,13,20,106,36,75,0.48,10,23,0.43,13,19,0.68,6,32,38,26,10,6,19,34,95,3,0,1,"2-0","1-0",2,2,0.5,"1-1","1-1"
"2016-11-01","GSW","POR",2016,"NO",37,86,0.43,14,39,0.36,16,21,0.76,6,26,32,23,12,4,18,17,104,50,89,0.56,10,26,0.38,17,23,0.74,7,38,45,36,14,4,16,19,127,2,2,0.5,"1-2","1-0",3,1,0.75,"0-1","3-0"
"2016-11-01","HOU","CLE",2016,"YES",43,83,0.52,16,32,0.5,26,31,0.84,12,34,46,22,4,2,11,21,128,43,90,0.48,17,44,0.39,17,25,0.68,11,21,32,30,5,2,7,25,120,4,0,1,"3-0","1-0",2,2,0.5,"1-0","1-2"
"2016-11-01","LAL","IND",2016,"YES",41,87,0.47,10,28,0.36,23,29,0.79,11,32,43,19,10,8,15,20,115,40,89,0.45,6,28,0.21,22,25,0.88,11,33,44,14,8,2,19,25,108,2,2,0.5,"2-0","0-2",1,3,0.25,"1-0","0-3"
"2016-11-01","MEM","MIN",2016,"YES",43,78,0.55,12,20,0.6,18,23,0.78,10,40,50,29,10,5,21,22,116,27,75,0.36,4,24,0.17,22,29,0.76,8,24,32,10,17,4,20,22,80,1,2,0.333,"1-0","0-2",2,2,0.5,"2-0","0-2"
"2016-11-01","MIL","NOP",2016,"NO",36,82,0.44,9,26,0.35,32,41,0.78,9,33,42,23,13,5,13,17,113,44,91,0.48,10,32,0.31,19,21,0.9,11,38,49,30,9,5,15,25,117,0,4,0,"0-3","0-1",2,2,0.5,"1-1","1-1"
"2016-11-01","NYK","DET",2016,"YES",41,89,0.46,8,13,0.62,12,21,0.57,10,38,48,19,7,5,10,16,102,35,86,0.41,7,22,0.32,12,15,0.8,8,35,43,18,6,9,11,20,89,3,1,0.75,"3-0","0-1",1,2,0.333,"1-0","0-2"
"2016-11-01","ORL","PHI",2016,"NO",40,81,0.49,9,20,0.45,12,16,0.75,7,35,42,28,5,8,15,20,101,42,93,0.45,6,25,0.24,13,17,0.76,12,27,39,29,7,6,10,15,103,0,3,0,"0-3","0-0",1,3,0.25,"0-1","1-2"
"2016-11-01","SAC","MIA",2016,"YES",37,86,0.43,13,29,0.45,21,29,0.72,6,39,45,24,10,9,15,21,108,34,89,0.38,5,23,0.22,23,27,0.85,9,44,53,12,4,4,15,23,96,2,2,0.5,"1-2","1-0",2,3,0.4,"1-1","1-2"
"2016-11-01","UTA","SAS",2016,"NO",33,76,0.43,6,20,0.3,19,21,0.9,4,30,34,19,6,5,9,15,91,38,76,0.5,15,31,0.48,15,18,0.83,2,37,39,22,5,8,10,20,106,4,1,0.8,"1-1","3-0",2,2,0.5,"1-0","1-2"
"2016-11-02","CHI","BOS",2016,"YES",41,87,0.47,14,32,0.44,11,17,0.65,10,29,39,28,10,4,12,24,107,35,81,0.43,7,20,0.35,23,31,0.74,15,34,49,21,7,7,19,19,100,3,1,0.75,"2-0","1-1",3,1,0.75,"2-0","1-1"
"2016-11-02","DAL","UTA",2016,"YES",35,77,0.45,12,25,0.48,15,26,0.58,7,34,41,18,6,3,12,21,97,33,77,0.43,7,26,0.27,8,10,0.8,6,30,36,18,4,4,12,20,81,3,2,0.6,"2-0","1-2",0,4,0,"0-1","0-3"
"2016-11-02","DET","BKN",2016,"YES",41,76,0.54,13,27,0.48,14,17,0.82,5,40,45,27,10,3,19,23,109,37,88,0.42,9,25,0.36,18,21,0.86,10,28,38,21,11,6,13,18,101,2,3,0.4,"2-1","0-2",3,2,0.6,"3-0","0-2"
"2016-11-02","HOU","NYK",2016,"NO",37,85,0.44,8,20,0.4,17,25,0.68,7,27,34,18,10,6,16,22,99,42,89,0.47,15,40,0.38,19,27,0.7,19,35,54,25,12,8,19,21,118,1,3,0.25,"1-1","0-2",3,2,0.6,"1-0","2-2"
"2016-11-02","LAL","ATL",2016,"NO",41,85,0.48,11,32,0.34,23,29,0.79,10,27,37,30,10,1,18,19,116,48,90,0.53,9,22,0.41,18,20,0.9,11,31,42,24,11,9,15,25,123,3,1,0.75,"2-1","1-0",2,3,0.4,"1-0","1-3"
"2016-11-02","NOP","MEM",2016,"YES",33,94,0.35,8,27,0.3,15,20,0.75,13,39,52,20,12,5,17,22,89,30,81,0.37,11,34,0.32,12,16,0.75,5,38,43,17,8,9,21,26,83,3,2,0.6,"3-0","0-2",0,5,0,"0-3","0-2"
"2016-11-02","OKC","LAC",2016,"NO",34,87,0.39,7,22,0.32,8,18,0.44,8,33,41,22,13,5,17,19,83,34,84,0.4,5,20,0.25,12,20,0.6,10,42,52,14,8,4,21,24,85,3,1,0.75,"2-1","1-0",4,0,1,"2-0","2-0"
"2016-11-02","PHI","CHA",2016,"YES",39,79,0.49,13,34,0.38,18,26,0.69,9,35,44,25,8,3,15,17,109,34,86,0.4,12,38,0.32,13,15,0.87,8,29,37,23,8,2,17,24,93,3,1,0.75,"1-1","2-0",0,4,0,"0-3","0-1"
"2016-11-02","POR","PHX",2016,"YES",44,103,0.43,5,16,0.31,25,30,0.83,14,45,59,15,10,5,12,20,118,42,101,0.42,12,33,0.36,19,21,0.9,10,43,53,25,8,8,14,23,115,1,4,0.2,"1-2","0-2",2,3,0.4,"1-2","1-1"
"2016-11-02","TOR","WAS",2016,"NO",42,72,0.58,3,10,0.3,16,24,0.67,6,30,36,21,8,5,20,20,103,43,77,0.56,10,25,0.4,17,25,0.68,4,27,31,21,16,2,13,24,113,0,3,0,"0-1","0-2",3,1,0.75,"2-1","1-0"
"2016-11-03","BOS","CLE",2016,"YES",41,84,0.49,14,34,0.41,32,37,0.86,7,35,42,24,6,6,8,19,128,46,96,0.48,11,32,0.34,19,22,0.86,10,29,39,25,4,6,8,28,122,5,0,1,"4-0","1-0",3,2,0.6,"2-0","1-2"
"2016-11-03","DEN","MIN",2016,"NO",35,88,0.4,9,22,0.41,20,25,0.8,14,29,43,20,8,4,16,22,99,39,81,0.48,6,22,0.27,18,25,0.72,7,37,44,24,10,2,20,24,102,1,3,0.25,"1-1","0-2",2,2,0.5,"0-1","2-1"
"2016-11-03","IND","MIL",2016,"YES",47,82,0.57,12,27,0.44,19,24,0.79,12,29,41,32,10,6,21,23,125,38,81,0.47,10,23,0.43,21,27,0.78,10,22,32,29,14,4,21,23,107,3,2,0.6,"2-1","1-1",2,3,0.4,"2-0","0-3"
"2016-11-03","OKC","GSW",2016,"YES",46,89,0.52,14,30,0.47,16,20,0.8,15,31,46,27,9,14,15,18,122,35,87,0.4,10,27,0.37,16,28,0.57,13,28,41,20,8,6,16,20,96,4,1,0.8,"1-1","3-0",4,1,0.8,"2-0","2-1"
"2016-11-03","SAC","ORL",2016,"YES",38,84,0.45,10,30,0.33,16,23,0.7,13,31,44,24,5,4,14,14,102,38,80,0.48,7,18,0.39,11,17,0.65,11,28,39,17,8,1,14,23,94,2,3,0.4,"1-1","1-2",2,4,0.333,"1-1","1-3"
"2016-11-04","ATL","WAS",2016,"YES",31,80,0.39,5,20,0.25,28,35,0.8,11,35,46,13,7,3,19,23,95,32,83,0.39,5,25,0.2,23,36,0.64,10,37,47,22,12,3,18,24,92,1,3,0.25,"1-1","0-2",3,2,0.6,"2-1","1-1"
