"DATE","VISITOR_TEAM_ID","HOME_TEAM_ID","SEASON","HOME_TEAM_WINS","FGM_H","FGA_H","FGP_H","FG3M_H","FG3A_H","FG3P_H","FTM_H","FTA_H","FTP_H","OREB_H","DREB_H","REB_H","AST_H","STL_H","BLK_H","TO_H","PF_H","PTS_H","FGM_A","FGA_A","FGP_A","FG3M_A","FG3A_A","FG3P_A","FTM_A","FTA_A","FTP_A","OREB_A","DREB_A","REB_A","AST_A","STL_A","BLK_A","TO_A","PF_A","PTS_A","WIN_H","LOSE_H","RANKING_H","HOME_RECORD_H","ROAD_RECORD_H","WIN_A","LOSE_A","RANKING_A","HOME_RECORD_A","ROAD_RECORD_A"
"2015-10-27","CLE","CHI",2015,"YES",37,87,0.43,7,19,0.37,16,23,0.7,7,40,47,13,6,10,13,22,97,38,94,0.4,9,29,0.31,10,17,0.59,11,39,50,26,5,7,10,21,95,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2015-10-27","DET","ATL",2015,"NO",37,82,0.45,8,27,0.3,12,15,0.8,7,33,40,22,9,4,15,25,94,37,96,0.39,12,29,0.41,20,26,0.77,23,36,59,23,5,3,15,15,106,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2015-10-27","NOP","GSW",2015,"YES",41,96,0.43,9,30,0.3,20,22,0.91,21,35,56,29,8,7,20,29,111,35,83,0.42,6,18,0.33,19,27,0.7,8,25,33,21,9,3,18,26,95,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2015-10-28","CHA","MIA",2015,"YES",36,73,0.49,12,20,0.6,20,21,0.95,2,39,41,23,5,7,13,25,104,33,84,0.39,6,24,0.25,22,29,0.76,11,32,43,16,4,1,8,16,94,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2015-10-28","CHI","BKN",2015,"NO",39,93,0.42,0,9,0,22,28,0.79,16,29,45,19,11,5,13,18,100,42,78,0.54,14,28,0.5,17,20,0.85,5,34,39,20,9,3,19,24,115,0,1,0,"0-1","0-0",2,0,1,"1-0","1-0"
"2015-10-28","CLE","MEM",2015,"NO",29,82,0.35,2,16,0.12,16,22,0.73,11,29,40,15,8,3,16,18,76,41,84,0.49,13,29,0.45,11,17,0.65,12,42,54,29,7,2,19,25,106,0,1,0,"0-1","0-0",1,1,0.5,"0-0","1-1"
"2015-10-28","DAL","PHX",2015,"NO",34,87,0.39,6,24,0.25,21,33,0.64,13,40,53,15,3,3,18,30,95,40,85,0.47,10,21,0.48,21,31,0.68,6,42,48,24,7,3,8,25,111,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2015-10-28","DEN","HOU",2015,"NO",30,87,0.34,8,35,0.23,17,26,0.65,15,29,44,17,13,8,16,19,85,40,79,0.51,13,27,0.48,12,18,0.67,9,40,49,26,9,10,21,26,105,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2015-10-28","IND","TOR",2015,"YES",36,80,0.45,7,18,0.39,27,39,0.69,9,41,50,19,8,2,20,24,106,32,86,0.37,9,23,0.39,26,31,0.84,8,32,40,23,14,3,13,30,99,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2015-10-28","LAC","SAC",2015,"NO",41,94,0.44,11,24,0.46,11,18,0.61,12,37,49,24,8,3,16,27,104,42,80,0.52,6,19,0.32,21,31,0.68,6,36,42,20,8,9,15,19,111,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2015-10-28","MIN","LAL",2015,"NO",35,90,0.39,9,34,0.26,32,35,0.91,12,36,48,18,2,4,13,29,111,38,83,0.46,5,20,0.25,31,37,0.84,6,33,39,24,3,4,8,26,112,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2015-10-28","NOP","POR",2015,"YES",44,88,0.5,12,32,0.38,12,14,0.86,6,45,51,22,7,4,12,21,112,36,91,0.4,11,33,0.33,11,18,0.61,5,34,39,19,7,2,11,17,94,1,0,1,"1-0","0-0",0,2,0,"0-0","0-2"
"2015-10-28","NYK","MIL",2015,"NO",30,86,0.35,9,18,0.5,28,31,0.9,18,29,47,17,7,4,18,27,97,42,93,0.45,9,23,0.39,29,35,0.83,19,30,49,24,11,7,11,28,122,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2015-10-28","PHI","BOS",2015,"YES",39,85,0.46,8,24,0.33,26,27,0.96,10,31,41,31,10,7,17,23,112,34,83,0.41,7,22,0.32,20,23,0.87,14,32,46,12,11,6,22,22,95,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2015-10-28","SAS","OKC",2015,"YES",42,86,0.49,7,19,0.37,21,22,0.95,11,34,45,21,7,4,19,19,112,45,93,0.48,5,15,0.33,11,13,0.85,7,29,36,22,11,9,13,18,106,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2015-10-28","UTA","DET",2015,"YES",30,74,0.41,7,19,0.37,25,34,0.74,8,35,43,16,2,4,10,20,92,35,75,0.47,2,12,0.17,15,21,0.71,4,34,38,15,4,5,12,25,87,2,0,1,"1-0","1-0",0,1,0,"0-0","0-1"
"2015-10-28","WAS","ORL",2015,"NO",37,100,0.37,5,26,0.19,8,12,0.67,17,39,56,20,9,6,14,22,87,33,84,0.39,7,28,0.25,15,25,0.6,15,34,49,17,8,9,17,14,88,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2015-10-29","ATL","NYK",2015,"NO",38,93,0.41,6,29,0.21,19,21,0.9,16,32,48,21,10,4,21,24,101,42,83,0.51,10,24,0.42,18,26,0.69,7,32,39,26,11,4,15,18,112,1,1,0.5,"0-1","1-0",1,1,0.5,"0-1","1-0"
